S/N,Complaint,Category
1,Walking to school,Administrative
2,Electricity,Administrative
3,"Facility problem such as water, Electricity has been a greatest experience I have witnessed in kwasu",Administrative
4,Electricity,Administrative
5,The trekking from park to anywhere you're going in school is a very big concern recently. Makes students not want to go class and it might have an adverse effect on us,Administrative
6,Network and Electricity,Administrative
7,Registration,Administrative
8,Wrong result,Academic
9,Results,Academic
10,We are always facing a very bad network,Administrative
11,Hostel issue,Administrative
12,I lack adequate running water at my residence and light inconsistency,Administrative
13,Electricity,Administrative
14,Results should be recorded properly because a single mark can change a student from an A to a B. It's also unfair when a lecturer insists they will never give a student an A no matter how well the student performs on the exam.,Academic
15,For the past 3 weeks the university shuttle service between the main gate and the faculty blocks has been unreliable. Buses scheduled for 7:30am and 4:00pm frequently arrive 45-60 minutes late or don't show up at all.,Administrative
16,The electricity supply in the hostel/classrooms is not stable. Students find it difficult to read at night and charge their devices,Administrative
17,Set up for school scheduled activities is very terrible.,Academic
18,We once had more than 10 marks removed from our results for no genuine reason. I have experienced a lot in Malete. The electricity hasn't been stable since my 100L days and the hostels have no water.,Academic
19,One major concern is the poor network connectivity and unstable electricity supply negatively affecting students academic activities. Another issue is transportation - students are now mostly dropped at the main bus stop and forced to walk long distances to their faculties. There are also concerns about the inconsistent and sometimes unfair grading system by some lecturers.,Administrative
20,Water,Administrative
21,The electricity in KWASU definitely needs looking into. Students are not comfortable with the lack of electricity in the school community as well as the poor network in Malete.,Administrative
22,Lecturer result course,Academic
23,Electricity is bad in MALETE and network as well,Administrative
24,Where shuttle drops us is not really comfortable and it's annoying - walking to class sometimes under the sun is really unnecessary stress.,Administrative
25,The grievance I have experienced is with network issues. The management should try and provide more service provider masts so as to contain the use of internet. This made reading and making research uneasy for students.,Administrative
26,The school field and other sports centre is not good enough,Administrative
27,Unnecessary fees added even after paying the school fee,Administrative
28,Water and Electricity,Administrative
29,We the students of Kwara State University want shuttle drivers to drop us at each faculty,Administrative
30,Result and fees,Academic
31,Fees,Administrative
32,Letter of reconsideration on the new shuttle transition route/system restriction - the restriction forces students to trek long distances which decreases motivation to attend school increases health risks and does not account for ongoing school activities. Shuttle fares remain unchanged despite shortened routes which is unfair to students.,Administrative
33,Transport issue: having to trek from the school park to various locations in the school is a very tedious task.,Administrative
34,Academic issues: wrong uploading of results and little to no rectification about it,Academic
35,Unnecessary expenses,Administrative
36,The new transportation rules are not favourable at all. Trekking long distance under such hot weather is taking a toll on some people's health and leading to a decline in class attendance especially for students whose faculty is much farther from the school park.,Administrative
37,Results Fees and electricity,Administrative
38,Water and electricity,Administrative
39,Lecturers don't guide us well on how we should go about studying and the school admits more students than it can handle especially in ICT faculty. Also during exams lecturers don't give us our full time - they usually stop us before the allocated time is up.,Academic
40,Lack of stable water and electricity supply in school hostels,Administrative
41,Electricity is the worst resource we have in the community,Administrative
42,Electricity,Administrative
43,Unavailability of basic amenities in my hostel,Administrative
44,Paying fee to check result while our parents are struggling to pay school fees is not really a nice idea,Administrative
45,A matter involving the restriction of students results unless a 20000 naira payment is made.,Administrative
46,Issues with result and facilities (water electricity and transportation),Administrative
47,Bad network and light,Administrative
48,Water,Administrative
49,Financial matter,Administrative
50,I can only complain about our results because that's not what I expected,Academic
51,There should be chances to do practical if you missed one,Academic
52,Electricity,Administrative
53,The poor facility and high cost is a problem,Administrative
54,Facilities,Administrative
55,Electricity and hostel fee,Administrative
56,The new method of shuttle movement is not convenient - drivers are not dropping us in front of our faculty and they don't give change. The electricity is also not stable. We are paying 156K (indigene) and 256K (non-indigene) school fees and the school can do better.,Administrative
57,I want there to be more events for students depending on their future ambitions,Academic
58,Transportation - the fact that buses are not reaching faculties like before is very inconvenient,Administrative
59,No good facilities in the hostel,Administrative
60,They deliberately removed the sundry charges knowing the results are not complete. Now that it's complete they are saying we should pay the charges.,Administrative
61,Water,Administrative
62,Errors in result,Academic
63,There was no light for around one week so I had to go around in search of water,Administrative
64,The shuttle issue - the transportation is so inconvenient,Administrative
65,The network has been giving issues. Shuttle should be moving inside the school. Trekking from admin to indoor sport everyday is not an easy task.,Administrative
66,Electricity,Administrative
67,This is about my academic issue - I have been attending lectures assignments and exams and I still didn't have a good result. Why?,Academic
68,The transportation to school is very poor,Administrative
69,Academic issues,Academic
70,The poor network in Malete is not encouraging for learning and day to day activities. Why do we have to pay for charging of phones. The school does not address the shuttle issue of not transporting students to their various destinations. And there is no electricity.,Administrative
71,How classes are being taken in lecture rooms that cannot adequately contain students,Academic
72,The expense is too much,Administrative
73,Hostel and water,Administrative
74,Excess continual payment of fees,Administrative
75,There is poor water supply in the hostel and the borehole water is dirty and not hygienic. The electricity situation is also unfair because some parts of the hostel have light while most rooms do not even though we all paid the same amount for accommodation.,Administrative
76,The fact that we have to walk from park to our lecture venue,Administrative
77,Lecturer,Academic
78,My complaint is all about the expenses and the transportation settings. It's so much inconvenient for us,Administrative
79,Cancellation of class,Academic
80,Some lecturers do not upload results on time and students find it difficult to get information about courses and exams.,Academic
81,The classroom is too small for a large population of students,Academic
82,Electricity,Administrative
83,Faculty problems,Administrative
84,Insufficient electricity and water,Administrative
85,Why would we use money to check results,Administrative
86,The online test time is too small - imagine 100 questions in 15 minutes. There are also electricity issues in Malete.,Academic
87,No electricity. As a 100 level student doing online lectures for maths and physics is very hard. The shuttle situation is bad - walking from the park to ICT faculty.,Academic
88,Clearance and electricity,Administrative
89,Facility problems and academic issues,Academic
90,Financial matters,Administrative
91,Facility problems,Administrative
92,Just a bad network,Administrative
93,The shuttle policy should be brought back,Administrative
94,Facility problems,Administrative
95,High cost of living in Malete campus,Administrative
96,Adding payment to results,Administrative
97,Hostel water,Administrative
98,Financial matters,Administrative
99,Electricity and high cost of living,Administrative
100,Facility problems,Administrative
101,Electricity,Administrative
102,Clearance,Administrative 
103,Hostel problem,Administrative 
104,Their network is poor,Administrative
105,Lecturer results fees and hostels,Administrative
106,I experienced delays in course registration and result processing at Kwara State University. Some students were unable to access the registration portal on time and complaints to the administrative office were handled slowly causing stress and affecting academic activities.,Administrative
107,The only complaint for now is the Nelfund refund from KWASU,Administrative
108,The cancelling of class is not something proper and after wasting time trekking to the faculty is not normal. The light and water issue is the number one problem - some hostels have no water unless there is light and not everyone can afford to buy water.,Administrative
109,Electricity,Administrative
110,Transportation within the school campus,Academic
111,Electricity,Administrative
112,Using the LMS portal for tests for a little period of time is causing clashes which affect students,Academic
113,Result not recorded,Academic
114,Walking from admin to our various faculties is very inconvenient. Many students find it hard to get to class on time since the shuttles can't go past admin.,Administrative
115,Results,Academic
116,Kwara State University has a lot of major constraints - poor transportation into school overall bad network in Malete over-expensive hostels lecturers not showing up many unexplained fees on the school portal and very poor electricity.,Administrative
117,Walking from admin to our various departments is very stressful,Administrative
118,Electricity and finance matters,Administrative
119,Electricity,Administrative
120,Bad network,Administrative
121,Electricity and fees,Administrative
122,Hostel no water no money - finding it hard to attend lectures,Administrative
123,Water electricity and fees,Administrative
124,I have experienced issues with registration hostel conditions water electricity delayed results and payment problems at Kwara State University.,Administrative
125,Documentation - I can't print out my admission letter and acceptance fees receipt,Administrative
126,There's no good network,Administrative
127,Unreasonable/Unnecessary fees,Administrative
128,Shuttle stopping at park is very stressful for students especially those whose faculty is far,Administrative
129,We need adequate water supply and electricity and most especially a good and stable network,Administrative
130,The new transport system is really stressful. Malete network has been a major problem in attending online class or filling class forms.,Administrative
131,The fans in ICT auditorium should be fixed and made to work whenever we have classes,Administrative
132,Sundry fee on portal,Administrative
133,Financial matters,Administrative
134,There have been repeated delays in the release and uploading of students examination results at Kwara State University. In some cases results are not available on the portal until several weeks or months after examinations which affects students during course registration clearance scholarship applications and CGPA calculations. Some students have also complained about missing scores and incorrect result entries.,Administrative
135,Financial matter - things are very costly here. Something they sell for 1000 naira is 2000 here which is affecting a lot of students. Parents think students spend lavishly not knowing what they are facing. 5000 naira can't take a student for 4 days and not all parents are financially stable.,Administrative
136,We can't be taking shuttle from tarmac and still have to walk to our various faculties - this needs to be fixed and we can't pay any 20K for no reason,Administrative
137,Sundry fee on portal,Administrative
138,Finance,Administrative
139,Electricity,Administrative
140,Facility problems - we are overpopulated in our department and we should attend classes in groups,Administrative
141,Kwasu needs to work on unuseful fees on portal electricity water network and off-campus hostel being very expensive,Administrative
142,Water and electricity,Administrative
143,Lecturers should try and teach better and put us through practical sessions for better understanding,Academic
144,Result,Academic
145,Poor network and lack of water,Administrative
146,Facility problem,Administrative
147,I wrote both test and exam but my score was not recorded when result was released,Academic
148,Not all lecturers are good at teaching - some just talk to themselves in class. Some punish students by not coming to class because they believe they were disrespected.,Academic
149,Facility problems,Administrative
150,Electricity and finance,Administrative
151,Network issue,Administrative
152,Kwasu does not always disburse Nelfund on time and please remove the sundry charges,Administrative
153,Fees,Administrative
154,Concerns raised: unstable electricity in hostels forcing students to spend money to charge devices daily; poor water supply in private hostels forcing students to walk long distances; overcrowded classrooms especially for Computer Science students; high cost of foodstuffs in Malete market; and the need for digitalization of administrative processes.,Administrative
155,Result,Academic
156,Water electricity and others,Administrative
157,The problem of bad network on and off campus. The problem of lack of electricity on campus. The issue of shuttles dropping students off at the school park and not their respective faculties. Other vehicles still moving on university grounds defeats the very purpose of the no-shuttle-on-grounds policy.,Administrative
158,1. Network Connectivity Issues - severe lack of reliable mobile network coverage on campus affecting all major networks. 2. Campus Shuttle Operations - drivers refuse to drop students at their designated faculties. 3. Safety and Infrastructure on School Road - lack of electricity and street lighting posing security risks. 4. Poor Classroom Ventilation - lecture halls lack functioning fans or air conditioning.,Administrative
159,Network issues (portal),Administrative
160,Network issues lack of electricity and water and unnecessary fees,Academic
161,Delayed release of exam results and semester results sometimes holding up graduation and NYSC mobilization.,Academic
162,Our lab coats that we paid for have not been given since last semester,Administrative
163,Shuttle problem - students need to trek down to their faculties from park. Those who have bikes are allowed to reach their facilities freely while others trek. This is particularly difficult during Ramadan.,Administrative
164,I have issues with the electricity - electricity here in Malete is so poor.,Administrative
165,Academic issues,Academic
166,Academic issues,Academic
167,Financial purpose - not being able to cater for myself,Administrative
168,Some lecturers are not holding classes or releasing materials in the very least,Academic
169,Administrative processes,Administrative
170,One complaint is the poor electricity and water supply in the hostels. Also the registration and clearance process can be stressful because of slow portals and delays in offices.,Administrative
171,Facility problems,Administrative
172,One complaint is the poor electricity and water supply in the hostels. Also the registration and clearance process can be stressful because of slow portals and delays in offices.,Administrative
173,Financial matters,Administrative
174,The classroom accommodation is insufficient - about 1000+ students in the department's 200 level barely fit into a class except when using the auditorium. Taking classes in groups doesn't seem effective.,Academic
175,Fees hostel and electricity,Administrative
176,I'm tired of trekking.,Administrative
177,Financial matters,Administrative
178,The trekking issue is very hectic especially under the sun and some of us have class in places like the indoor sports complex.,Administrative
179,My results,Academic
180,Hostel,Administrative
181,Facility problem,Administrative
182,Lecture,Academic
183,There have been issues with incorrect or delayed results on the student portal. Some students complain that scores are missing or wrongly uploaded and resolving these issues takes a long time because of slow administrative response.,Academic
184,My phone was stolen from my neighbor's room through a torn window in 300 level. The following semester my hostel was also burgled and my phone was taken. That's two iPhone 11 Pro Max in one session and the trauma never leaves.,Administrative
185,The distance students trek to their faculty daily is not healthy. Students who are not medically fit and those with disabilities trek daily just to come to class. This causes fatigue making it hard to concentrate in class. The price of the shuttle also remains the same which is wrong especially for students in FMSS and Accounting department.,Administrative
186,Administrative processes,Administrative
187,The courses,Academic
188,When the maximum capacity of the class is reached the fans are not switched on even though they are functional because the main switch is off. Also school hostels on campus are terribly maintained.,Administrative
189,Lack of electricity water and increase in cost of foodstuffs or transportation fare.,Administrative
190,Water and electricity,Administrative
191,Issue of water and electricity,Administrative
192,The stopping of intra-school transportation. Most auditoriums and lecture venues can't contain all students. Lecturers lateness of 2-3 hours is excessive. Result issues where students get an F in courses they worked hard in. Unnecessary and compulsory fees on the portal including sundry professional fees ranging from 25000-200000 naira.,Administrative
193,Not hearing lecturers during lectures due to no adequate materials/audio,Academic
194,Hostels classrooms water and electricity,Administrative
195,Result,Academic
196,Result,Academic
197, The Lanyard given to the student was not able to reach all the students and there are some of us do not have clearance slip to collect it. ,Administrative
198,We are lacking physical practical for computer science department. Trekking from admin to ICT is very stressful and time consuming.,Academic
199,Water and electricity,Administrative
200,Adding fee to check result,Administrative
201,Error in results - missing manuals and mistakes in results,Academic
202,When they add late registration to portal and when they put 20K before we can check our results,Administrative
203,Electricity and water,Administrative
204,My departmental course results were unexpectedly low despite performing well. I checked my results and ended up with two Cs. The main point is for there to be more discipline in exams especially written ones.,Academic
205,The Malete network is bad which makes us unable to do school activities that are supposed to be done online,Administrative
206,Lack of coordinating programs and electricity,Administrative
207,Water and electricity,Administrative
208,There were numerous issues with the release of results in the Computer Science department. With over a thousand students in a single level manual grading is very difficult. Many students discovered serious errors in their grades including zero scores due to missing scripts. The university should adopt CBT examinations for large departments to reduce errors and improve accuracy.,Academic
209,The recent results released are not correct affecting my CGPA and nothing has been done about it. The fees being paid are also not easy as financial life is not so comfortable.,Academic
210,Result,Academic
211,I've never seen any school ask their students to pay for results in my life,Academic
212,The network in the school is pretty bad - it's very slow,Administrative
213,Lack of electricity power supply along the school road,Administrative
214,Hostel water electricity and also financial matters,Administrative
215,Electricity issues,Administrative
216,Everything in the school needs to be checked - both light accommodation and expenses are very much,Administrative
217,Electricity has not been stable and so has the water.,Administrative
218,Bad electricity hostel facilities and water,Administrative
219,Inadequate infrastructures and not-good enough lecturers,Academic
220,Electricity and bad network,Academic
221,Fees,Administrative
222,One major complaint is the stress involved in administrative and academic processes. Course registration issues delayed results and difficulty resolving complaints about scores are common. There are also facility issues like poor water supply unstable electricity and overcrowded classrooms. Many students also complain about unexpected fees and poor communication from school management.,Administrative
223,Results,Academic
224,Bad network,Administrative
225,Result!! We don't have money to pay!!,Academic
226,Too much charges on portal and the school should do something about the bad network,Administrative
227,There is no stable light,Administrative
228,Electricity failure,Administrative
229,The major problem is not having enough venues - when class is scheduled the problem is finding a venue. Another problem is security and big fees. No light no water looking for where to charge. Things are very expensive at the market and the school should please reduce fees as parents are really struggling.,Administrative
230,Poor transportation and network in the school premises - having to walk from the school park to class everyday is really discouraging and the poor network at school makes living here a nightmare,Administrative
231,I had an issue with my 200 level second semester result where I was given wrong results with undeserved carryovers including in courses I didn't even register. The hostel electric services are very poor and water is not accessible and bills are extorting.,Academic
232,Financial matter,Administrative
233,Lack of water and electricity,Administrative
234,Water and electricity,Administrative
235,We would like our 200 level computer science 2nd semester to be CBT and not written,Academic
236,Hostels have no stable electricity and water. Also the Nelfund disbursement - it's been going on a month since Nelfund disbursed money to Kwasu and students didn't see anything. There is a need for improvement in Kwasu's banking system.,Administrative
237,The payment deadline has always been too difficult and inconvenient - payment periods are too short for school fees and other school payments.,Administrative
238,Network and electricity has been very bad - the school management should do better,Administrative
239,Some fees on the school portal are ridiculously pricey including the sundry fee. Students should be considered while adding such fees as most students are already struggling.,Administrative
240,Network and electricity,Administrative
241,Results,Academic
242,Electricity/water and transportation,Administrative
243,Result handling is not so good,Academic
244,Electricity,Administrative
245,Electricity issues and payment for result check,Administrative
246,There were numerous issues with the release of results in the Computer Science department. Over a thousand students in a single level makes manual grading very difficult. Many students discovered serious errors in their grades with some given zero scores due to missing scripts. CBT examinations should be adopted especially for large departments.,Academic
247,I experienced issues during registration and clearance because of constant network problems and portal failures. Despite making payments early there were delays in updating my registration and the process was stressful due to lack of proper assistance from some staff.,Administrative
248,Electricity,Administrative
249,One major grievance is the delay and stress involved in course registration and clearance processes. Many students often face network issues on the school portal especially close to registration deadlines. Sometimes payments are successful but the portal does not update immediately causing panic.,Administrative
250,My results for IFT201 and CSC201 were not recorded properly. Please lecturers should mark our scripts carefully as it is not easy for students and our parents.,Academic
251,Water,Administrative
252,Fees,Administrative
253,I'm a non-indigene but my portal is showing indigene. I've been complaining about it to different people excos and lecturers but no solution. I was told to pay school fees and pay non-indigene balance and I've been doing that.,Administrative
254,Administrative process (disbursement of Nelfund),Administrative
255,I have issues with my result - my IFT and my ENT. My ENT test was recorded as 5 when I'm sure I did well and my IFT both exam and test show 0.,Academic
256,The struggle for light and water in the school hostel is out of hand.,Administrative
257,Water and electricity,Administrative
258,About the sundry and professional fee,Administrative
259,Hostel,Administrative
260,I did my physics practical 107 carry over course and I still got 0 in the course - that is my only complain,Academic
261,Results problems,Academic
262,The network exorbitant charges on basic amenities and indecency have been the highlights of all my complaints.,Administrative
263,Facilities problem,Administrative
264,Fees - Professional and Laundry Fee,Administrative
265,Academic,Academic
266,Financial,Administrative
267,Classrooms,Academic